video_id,tester,project,windows,duration_s,l1_total,l1_duration_anomaly,l2_coverage,l3_findings,top_severity,narration,recording,tier,reason,coach_recs
jenniferparry7_uq,jenniferparry7,the-university-of-queensland,23,1543,10,True,1.0,9,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,2
kweslake_uq,kweslake,the-university-of-queensland,33,2685,0,False,0.0,24,S3,rich,acceptable,acceptable,multiple medium-severity findings,3
laurenrosemetzler_suncorp,laurenrosemetzler,suncorp-insurance,50,3363,0,False,0.0,34,S3,rich,good,acceptable,multiple medium-severity findings,2
laurenrosemetzler_uq,laurenrosemetzler,the-university-of-queensland,57,3813,0,False,0.0,36,S2,rich,good,poor,task-blocking friction: S1/S2 present,2
laurenrosemetzler_wa,laurenrosemetzler,department-of-premier-and-cabinet-wa,59,4219,0,False,0.0,23,S2,rich,good,poor,task-blocking friction: S1/S2 present,1
margieflint_suncorp,margieflint,suncorp-insurance,70,4726,0,False,0.0,64,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
margieflint_uq,margieflint,the-university-of-queensland,73,4756,0,False,0.0,46,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
margieflint_wa,margieflint,department-of-premier-and-cabinet-wa,75,5159,0,False,0.0,79,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
marychaunguyen_suncorp,marychaunguyen,suncorp-insurance,49,3573,0,False,0.0,31,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
marychaunguyen_uq,marychaunguyen,the-university-of-queensland,32,2138,0,False,0.0,20,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
marychaunguyen_wa,marychaunguyen,department-of-premier-and-cabinet-wa,64,4562,0,False,0.0,43,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
mgblackwell2001_suncorp,mgblackwell2001,suncorp-insurance,42,2786,0,False,0.0,15,S3,adequate,poor,poor,recording unusable,3
oliviamitchell22_suncorp,oliviamitchell22,suncorp-insurance,25,1610,0,False,0.0,26,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
praveshuprety307_wa,praveshuprety307,department-of-premier-and-cabinet-wa,59,4004,0,False,0.0,30,S3,rich,acceptable,acceptable,multiple medium-severity findings,3
rae_suncorp,rae,suncorp-insurance,84,5513,0,False,0.0,50,S3,rich,good,acceptable,multiple medium-severity findings,2
rae_uq,rae,the-university-of-queensland,60,4018,0,False,0.0,35,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
ramazankawish_suncorp,ramazankawish,suncorp-insurance,71,4604,0,False,1.0,38,S3,rich,acceptable,acceptable,multiple medium-severity findings,3
ramazankawish_uq,ramazankawish,the-university-of-queensland,104,7260,2,False,1.0,78,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
ramazankawish_wa,ramazankawish,department-of-premier-and-cabinet-wa,77,5204,0,False,1.0,34,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
reececraigie_suncorp,reececraigie,suncorp-insurance,72,4699,0,False,0.0,26,S2,rich,good,poor,task-blocking friction: S1/S2 present,2
reececraigie_uq,reececraigie,the-university-of-queensland,62,4117,0,False,0.0,20,S3,rich,good,acceptable,multiple medium-severity findings,2
reececraigie_wa,reececraigie,department-of-premier-and-cabinet-wa,81,5453,0,False,0.0,34,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
reneerussell99_suncorp,reneerussell99,suncorp-insurance,30,2471,0,False,1.0,14,S3,rich,good,acceptable,multiple medium-severity findings,2
reneerussell99_uq,reneerussell99,the-university-of-queensland,36,3129,0,False,1.0,20,S2,rich,good,poor,task-blocking friction: S1/S2 present,2
reneerussell99_wa,reneerussell99,department-of-premier-and-cabinet-wa,33,3646,1,False,1.0,15,S3,rich,good,acceptable,multiple medium-severity findings,2
tacitdesign_wa,tacitdesign,department-of-premier-and-cabinet-wa,136,8955,0,False,0.0,72,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
terryaflint17_suncorp,terryaflint17,suncorp-insurance,73,4756,81,False,1.0,22,S1,rich,poor,poor,recording unusable,3
terryaflint17_uq,terryaflint17,the-university-of-queensland,78,5610,117,False,1.0,43,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
terryaflint17_wa,terryaflint17,department-of-premier-and-cabinet-wa,73,4865,64,False,1.0,16,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
thanoptions_suncorp,thanoptions,suncorp-insurance,36,2730,0,False,0.0,7,S4,rich,poor,poor,recording unusable,2
thanoptions_uq,thanoptions,the-university-of-queensland,59,4581,0,False,0.0,41,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
thanoptions_wa,thanoptions,department-of-premier-and-cabinet-wa,2,3783,0,False,0.0,0,,sparse,poor,poor,recording unusable,1
tharayil_wa,tharayil,department-of-premier-and-cabinet-wa,55,3599,0,False,0.0,57,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
tianarosie1_wa,tianarosie1,department-of-premier-and-cabinet-wa,76,5401,0,False,0.0,59,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
troyparnell_suncorp,troyparnell,suncorp-insurance,1,1115,0,False,0.0,0,,none,poor,poor,recording unusable,1
