window_id,project,video_id,video_filename,tester_name,start_time,end_time,duration,text,initial_observation,possible_friction_type,possible_sentiment,possible_narration_type,primary_evidence,notes
mgblackwell2001_suncorp_w012,suncorp-insurance,mgblackwell2001_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_mgblackwell2001.mp4,mgblackwell2001,912.469,973.429,60.96,"OK, sure. How do I work this? Same as Exactly is an insured event. OK.",Tester expresses immediate confusion about how to operate the current interaction.,F2 Confidence Friction,negative,thinking_aloud,"""How do I work this?""",Sparse context but direct evidence of interaction confusion.
reneerussell99_suncorp_w016,suncorp-insurance,reneerussell99_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_reneerussell99.mp4,reneerussell99,1535.31,1597.52,62.21,"And then I would go to the get a quote link. So I'd read through those terms and conditions and then press I understand. And then this is, to me, that's where the quote process starts, so this pressing I understand puts you straight onto that calculator link, and then um that's how you would start getting a quote for home and contents insurance. So I'm gonna look for information on severe weather, and I believe when I was scrolling the homepage, I saw something about a disaster hub, so I will go and have a look at that again and see if I can find it.",Tester describes a clear path into the quote flow and then searches for severe weather information.,none No observed friction,neutral,navigation,"""that's where the quote process starts""",Task progress appears successful; no explicit friction.
asma_uq_w042,the-university-of-queensland,asma_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_asma.mp4,asma,3708.659,3794.209,85.55,"I mean, the process of registration looks like just to see how it, it goes in this terms, so. Resides in most of information to read. I think it's good to see like how they described it.",Tester lightly evaluates the registration process and information description as acceptable.,none No observed friction,positive,feedback_evaluation,"""I think it's good to see like how they described it""",No clear friction; short positive evaluation.
laurenrosemetzler_suncorp_w007,suncorp-insurance,laurenrosemetzler_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_laurenrosemetzler.mp4,laurenrosemetzler,476.25,537.669,61.419,"Um, but yeah, that is my First impressions. I think how it could be improved, um, For myself, I. Do you like the layout? Um Yeah, perhaps there could be. Some icons next to the words here, um, Or even here, um, And perhaps it could be. Uh, If I have this image here, um, of this spokeswoman. I guess I'm just wondering why this is. An icon again or the uh the UI art again. And why it doesn't really match with that. That's very nitpicky though, um.",Tester suggests visual/icon improvements and notes inconsistent visual style.,F1 Comprehension Friction,mixed,feedback_evaluation,"""perhaps there could be some icons next to the words""",Minor visual clarity and consistency suggestion; tester frames it as nitpicky.
tacitdesign_wa_w021,department-of-premier-and-cabinet-wa,tacitdesign_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_tacitdesign.mp4,tacitdesign,1400.5,1469.29,68.79,"OK, so I think I might do a headings list just to see. Sorry, Jules has lost focus. OK. I try and do again things. Hasive control one. What is it? Recognizes silence, emotional abuse, isolation, monitoring, financial control. Social violence. Cultural spirit, children parenting, what to do if you think you might be experiencing coercive control. Are you worry about inmate's behavior. You're worried you might be using coercive control, what would you do?",Tester uses a headings list and mentions focus loss while navigating page sections.,F3 Accessibility Friction,mixed,navigation,"""I might do a headings list""",Screen-reader style heading navigation is central; possible focus issue appears in the transcript.
reececraigie_wa_w041,department-of-premier-and-cabinet-wa,reececraigie_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_reececraigie.mp4,reececraigie,2846.05,2918.959,72.909,"And this is great, if you, if you have a question or you want to report a problem, it's good that this is always open here. And the acknowledgement of country stays consistent across all pages in the bottom banner. With that being said, nothing. Nothing extreme for me here. I think it's on, it's on point for what you're trying to achieve there. With that being said, I'm going to close off task 7. Thank you. Hello team, it's Reece Craigie here, Aboriginal consultant for See Me Please. I'm starting task 8, exploring information pathways. OK, so, and over the objective. And um, Want to understand what attracts my attention, how I would choose my pathway, how I'd choose my journey, adventure, and whether the content, uh, Discover feels helpful and informative. So resetting my thinking, exploring the page, um, by clicking on sections that feel most relevant or valuable to me.","Tester gives positive feedback on persistent support/reporting options, then starts a new exploration task.",none No observed friction,positive,task_response,"""it's on point for what you're trying to achieve""",Positive wrap-up plus transition to next task; no clear friction.
giuliaclemente26_uq_w050,the-university-of-queensland,giuliaclemente26_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_giuliaclemente26.mp4,giuliaclemente26,3536.939,3597.3,60.361,"All right, now. Translate. So Google Authenticator. So I need to install something which is already a pain, but OK. Scan the QR code. And then insert. OK. Otherwise, he inserted this. OK, how, sorry, um, my, I come from a very direct culture. How is a person going to input something like this and remember where they were? Oh my God, OK, I hope I already have Google Authenticator for other reasons. Let me see. Authenticator.",Tester finds the authenticator setup burdensome and worries about remembering where they were in the flow.,F7 Excessive Effort,negative,feedback_evaluation,"""I need to install something which is already a pain""",MFA setup creates workflow burden and potential loss of context.
reececraigie_wa_w043,department-of-premier-and-cabinet-wa,reececraigie_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_reececraigie.mp4,reececraigie,2980.449,3051.02,70.571,"You've probably seen organically, I. I do that stuff, even, even from here, I would've, I'm a big control F guy. I can see that it takes me straight to the acknowledgement, but that's probably where I would have started, to be completely natural. And I would have done the same here. Mm, OK. I was looking, I was scanning for, I did see that one was specific for women and children, looking for men, Aboriginal adults.",Tester uses Control-F/scanning to locate relevant audience-specific support information.,F6 Content Not Found,mixed,navigation,"""I was looking, I was scanning for... men, Aboriginal adults""",Findability concern around locating support for specific groups.
ghum_wa_w065,department-of-premier-and-cabinet-wa,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,4523.319,4588.959,65.64,"If I was aware of someone who could see that was needing information and maybe had some cognitive difficulties or if English was not their first language, possibly this resource would be useful, um, because I can't access the resource with my screen reader. I don't. I haven't, I don't know what it, how accessible it is, I'm sorry, I don't know the quality of the content, um, because so much of it is missing. To, you know, so much of it is not visible to my screen reader. So this page is not useful at all to me, um, and it's probably not something I'd recommend to other people cos I don't know what the content is really. Um, it'd have to be a very specific situation where it would be useful. I found the information on the main website much more. Useful and I felt the language was fairly, fairly good in there, as fairly easy to understand in there as well.",Tester cannot access a resource with a screen reader and therefore cannot judge or recommend the content.,F3 Accessibility Friction,negative,feedback_evaluation,"""I can't access the resource with my screen reader""",Severe accessibility barrier: resource content is not visible to the screen reader.
rae_suncorp_w075,suncorp-insurance,rae_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_kris_rae.mp4,rae,5107.35,5168.39,61.04,"OK. So in terms of the The questions, um. Scrolling down. Um So It's quite clear that your policy won't be canceled unless Um, without giving you 14 days' notice, that your payment is overdue, like is due, or if it's already 1 month overdue, they may cancel your policy. Um I didn't say anything about being charged. A fee or a penalty.",Tester finds cancellation timing clear but cannot find information about fees or penalties.,F6 Content Not Found,mixed,task_response,"""I didn't say anything about being charged a fee or a penalty""",Missing or unclear policy/payment consequence information.
reececraigie_wa_w012,department-of-premier-and-cabinet-wa,reececraigie_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_reececraigie.mp4,reececraigie,826.09,890.349,64.259,"Wow, I love this. I'm looking at the 32nd ad, quick resources I can share, because a bit of a tingles moment for me, I think. I'm thinking of things that I've observed. And resources I can share. And this might be beneficial for you guys to know or not, but, You know, I would use my example of looking at this stuff for a project, for my business, as a way to share this with my network. So perhaps we need to think of innovative ways to get this out there, because I, I'm concerned that this is happening across, uh, people in my, um, ecosystem, let's say. Emotional abuse or isolation, OK, so now I know that I'm, I, I'm witnessing coercive control, I've seen the words freedom, independence, I've seen fear. Um, I've seen anxiety from the, my neighbor.",Tester responds strongly and positively to shareable coercive control resources and connects them to real community concern.,none No observed friction,positive,feedback_evaluation,"""quick resources I can share""","Support/safety relevance is central; no friction, but useful case-study signal."
asma_uq_w014,the-university-of-queensland,asma_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_asma.mp4,asma,1185.239,1301.93,116.691,What So I could see that the story didn't really work for me. So did I need to see like if I could find a study option here just to see.,Tester says the story/pathway did not work for them and looks for a study option instead.,F2 Confidence Friction,negative,navigation,"""the story didn't really work for me""","Indicates the presented pathway did not support the tester, leading to alternative navigation."
Sharelinsonny_uq_w014,the-university-of-queensland,Sharelinsonny_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_Sharelinsonny.mp4,Sharelinsonny,953.169,1022.559,69.39,"Business, agriculture science. Hm A sticky type. Agribusiness. Um, my step um Yes, master of Business. I think so. So once I am this first organizations I discovered used to say that, you know, I'm already in the masters of business.",Tester is trying to identify the correct Master of Business option among program/category options.,F6 Content Not Found,neutral,navigation,"""Yes, master of Business. I think so""",Mild uncertainty while locating the correct program; no strong negative reaction.
Sharelinsonny_suncorp_w065,suncorp-insurance,Sharelinsonny_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_Sharelinsonny.mp4,Sharelinsonny,4453.009,4518.43,65.421,"In this page. Um, Uh, using this function here and finally, uh. There is a life jets in here. Hm hm dis. As I go, I OK. Um, I want to talk about what I expect to find and how easy it is to get the information. First, I'll look at the main navigation menu. Thank you. I hope for all beheadings like. Um, You know, Uh, something like Taste.",Tester is preparing to evaluate the main navigation and expects clear headings or information pathways.,F6 Content Not Found,neutral,thinking_aloud,"""what I expect to find and how easy it is to get the information""",Mostly setup for navigation evaluation; useful as a prompt-design example for expectations.
gameoverdan_suncorp_w040,suncorp-insurance,gameoverdan_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_gameoverdan.mp4,gameoverdan,2719.229,2782.55,63.321,"The homepage. I will say the homepage has done well so far. Uh, Do do do, no, nothing there. OK, so resources. Help center. I got a question. Cancel policy, no insurance. No, no, no, no. hm. Contact us. Ask a question. Yeah Uh OK, so we tried this before, that wasn't it? Um, have a question, give us a call, no, we're doing it online. Doing it online. Claim online.",Tester repeatedly checks help/contact resources while trying to find an online claim path.,F6 Content Not Found,negative,navigation,"""no, we're doing it online. Doing it online. Claim online""",Repeated navigation attempts suggest difficulty locating the online self-service option.
fjone7_suncorp_w087,suncorp-insurance,fjone7_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_fjone7.mp4,fjone7,6256.183,6323.5,67.317,"there's no emergency services emergency services. OK. 2? Yes, you can. Insurance purposes I make a claim for the health insurance cover? I make a claim insurance health insurances, payment options my health insurance Ispend my cover. But what happens if I covered for cosmetic surgery aging aging certificate certificate. Can I cancel my policy I change my address my email address copy. And I will say as I sort of scroll through these questions. Um, the first button on each category, cause each category has its own heading, the first button seems to always be expanded.",Tester scans FAQ categories and notes emergency services are not visible while category buttons are expanded.,F6 Content Not Found,mixed,navigation,"""there's no emergency services""",Findability issue within FAQ/category layout; also observes accordion behaviour.
rae_suncorp_w011,suncorp-insurance,rae_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_kris_rae.mp4,rae,732.169,796.479,64.31,"There's not that overwhelming amount of information, like you can click into these little things and read it, rather than having like, masses of information. OK, so for task 3, so, for me, my main question would be, um, What's covered. Like what types of cover you can get in terms of home and contents, and then. Um You know, what's covered, what kind of money would I be looking at paying, what, how much cover would I get, um, things like that, so I guess, I'm gonna, I would go into explore home and contents. Um, OK, so what's covered. With a a temporary.",Tester appreciates that information is not overwhelming and begins exploring home and contents cover.,none No observed friction,positive,thinking_aloud,"""There's not that overwhelming amount of information""",Positive reaction to progressive disclosure; no friction in this window.
margieflint_suncorp_w051,suncorp-insurance,margieflint_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_margieflint.mp4,margieflint,3570.169,3632.639,62.47,"Uh, let's see, Disaster hub, I imagine that's the same. And then how to make a claim after the winner. Uh, and the city weather. Alert, so back again, and Keep going back, now we've got cyclones, which I imagine happens a lot up in Queensland and Darwin, etc. Western Australia, hail hub, which there's a lot of that, um, storm cover is automatically included, preparation, view the hail preparation list. So I'm seeing Safety After the hall has passed, you can start your claim process, um, let's see if you've got internet, uh. Support before, so again, the hail hub. OK. Previle again. Live chat callers, so they've certainly got the phone numbers there if you need to call somebody. And the phone numbers too for the other emergency services.",Tester navigates disaster/hail support content and notices phone numbers and emergency service links.,none No observed friction,neutral,navigation,"""they've certainly got the phone numbers there""",Successful discovery of support/contact information; no explicit friction.
Sharelinsonny_uq_w026,the-university-of-queensland,Sharelinsonny_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_Sharelinsonny.mp4,Sharelinsonny,1818.13,1880.76,62.63,"So we can improve it based on your needs, personalized, your online experience with us, you use cookies for different reasons. Some cookies are necessary for technical reasons, while other cookies support things like Analytics or advertising and marketing activities, pixel codes are similar to cookies and a lot making of user action. Regarding Facebook pixel, you can manage your setting within your Facebook account. OK, that's good. Oh, OK. Mm. As I scroll through a section of all the the. It feels quite alone. Written in formal legal language, it's not very user-friendly, and I wouldn't realistically read all of it in detail, so.","Tester finds cookie/privacy text too long, formal, and not user-friendly.",F1 Comprehension Friction,negative,feedback_evaluation,"""formal legal language, it's not very user-friendly""",Clear content readability issue caused by legal language and length.
margieflint_wa_w069,department-of-premier-and-cabinet-wa,margieflint_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_margieflint.mp4,margieflint,4885.29,4946.029,60.739,"Feedback I'm assuming is down the bottom where we usually are on these pages, here we go, send feedback. I'll fill in the form. Uh, child protection, disabilities and feedback, general complaints. OK, so I'll fill general complaints. And well this see. Mm And my details. Mm No, it's so sick yeah. Mm, 29. Mary Strange.",Tester expects feedback at the bottom of the page and starts navigating a feedback/complaints form.,none No observed friction,neutral,navigation,"""Feedback I'm assuming is down the bottom""",Feedback pathway is being located through page convention; no clear blocker yet.
ramazankawish_wa_w026,department-of-premier-and-cabinet-wa,ramazankawish_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ramazankawish.mp4,ramazankawish,1874.819,1939.729,64.91,"And find a way how to get out of this situation. Coercive control is family. And domestic violence and it's important to, um, recognize the, the warning signs if you think you might be experiencing coercive control, you should, um, Know that? OK, what's happening? The controlling behavior is not OK. That's the first thing. Controlling behavior is family and domestic violence. It is not your fault. You should not blame yourself, that means. You are not alone. There is support. Contacting a um confidential support service for advice is a good first step. No matter what your situation is, help is available, a self-assessment, um, um.","Tester reads and summarizes support guidance for coercive control, including help availability and self-assessment.",none No observed friction,neutral,reading_page,"""There is support... help is available""",Safety/support content is the focus; mostly reading and interpreting guidance.
Sharelinsonny_wa_w051,department-of-premier-and-cabinet-wa,Sharelinsonny_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_Sharelinsonny.mp4,Sharelinsonny,3564.459,3630.969,66.51,"So Overall, the page provides useful information about family and domestic violence and where people can get our help. So it's, the heading is clear, simple explanation, and visible support resource make this page more helpful and for the people who might be looking for information or assistance. I think this is Of me. Hello, I am back at the top of the family and domestic violence page, and I am going to explore it again as if I am looking for more information or support, and I am going to click um. You know, the section that Feel most relevant or useful to understand the issue and find help. So, um, Let me have a look as I scroll down.",Tester positively evaluates the family and domestic violence page and then begins exploring relevant support sections.,none No observed friction,positive,feedback_evaluation,"""the heading is clear, simple explanation, and visible support resource""",Positive feedback on clarity and support visibility.
reececraigie_wa_w067,department-of-premier-and-cabinet-wa,reececraigie_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_reececraigie.mp4,reececraigie,4660.729,4726.899,66.17,"Maybe it's my, OK, this is an easy book. Uh, something about the bold. This book has some hard words, this means words that are hard to understand. The first time we write a hard word, the word is in bold. The word will be followed by what it means. Gotcha, OK, gaslight you, this is when someone tries to confuse you on OK, great. Let me jump out of this. OK, so. Uh, my thoughts and reactions, you got that. Please explain whether it's clear who the resource is for, yep. I thought the, I thought the layout was really good. The images were great and powerful, mostly. Um, Nothing felt confusing, I've resolved the whole bold verse meaning after it. I scanned too quickly and assumed that that was going to speak to me, but that's fine what you've done.",Tester evaluates an Easy Read resource positively and says the initial confusion about bold words was resolved.,none No observed friction,positive,feedback_evaluation,"""Nothing felt confusing""",Minor initial misunderstanding was resolved by the resource structure.
giuliaclemente26_uq_w004,the-university-of-queensland,giuliaclemente26_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_giuliaclemente26.mp4,giuliaclemente26,277.529,341.51,63.981,"So Which one is this? Uh, it's leave me alone. OK, the thing that really bothers me is when They try and have you download things or input things that you haven't even had the time to look at the landing page, like, Get off my back, um. OK, so. This website at a glance looks. Can I say dodgy? Dodgy to me in the sense where it seems to me those online courses from providers that give, heaps of different courses, kind of boot camps, um, And there are not really.",Tester is frustrated by being asked to download or input information before understanding the landing page and questions site credibility.,F2 Confidence Friction,negative,feedback_evaluation,"""download things or input things that you haven't even had the time to look at the landing page""",Expectation mismatch and trust/credibility concern; tester describes the site as dodgy.
ghum_wa_w029,department-of-premier-and-cabinet-wa,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,2043.0,2103.35,60.35,"Um, and so there's some guidance on how to interact with the person. Who you're concerned about. We must, we must, room share toolbar, window, system dialogue, record to this computer. Safari, Safari, HTTPS College. Um, this might be quite a quick task, um, empty group. So I've clicked on the file, the, um, the PDF. Page one containing. And Empty group, page one containing in page one containing content page one containing empty group. Page one containing empty group. Page one containing page one containing out of my content, close button, page one containing. So. It's not the sort of file I would keep, um. Yeah, I've got no access to the the content in here at all. Uh, it might be something I could use an app on my phone to try and do some OCR. Um. Uh Let's see, Phil.",Tester opens a PDF but cannot access the content with their screen reader.,F3 Accessibility Friction,negative,feedback_evaluation,"""I've got no access to the content in here at all""",Severe PDF accessibility issue; possible need for OCR or accessible PDF remediation.
ghum_suncorp_w025,suncorp-insurance,ghum_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_ghum.mp4,ghum,1761.68,1832.67,70.99,"More about accidental, we offer cover for accidental loss or damage for building insurance. What's included, Heading level 2, constructed breaking a window, image. Want to add this to your existing policy? Get a quote. Available as an optional cover with our any combined home and accidental damage at home heading level 1. Heading not found. What's included, heading level 2. How to get any optional accidental damage at home, heading level 2. OK. New customer. Add any accidental damage at home optional cover to your any combined home and contents. A building or any contents quote for an additional premium. It's not easy. Get a quote. Existing customer, call us on to add accident. What is any accidental damage at home? Heading level 2. AAA's accidental damage at home is an optional cover which you can add to your. Visited Amy combined home and contents, comma. Amy building only or Ay contents only. Insurance policy, this cover can be, this coverage if you're worried about loss or damage caused by accidents around the house. If you accidentally drop, knock, steal or otherwise damage something at home, and it is covered by the policy. This optional cover can assist with repair or replacement. It can apply to your house itself, your contents, or both, depending on your policy. Frequently asked questions, heading level 2, any accidental damage at home. Am I covered for accidental damage button. If you haven't. Visited Amy home and contents, Amy building only. 4. Amy content insurance policy, your building and contents are covered for loss or damage caused by insured events such as fire, storm, you have the option of also covering the building in end of Maine. Content information. Got a question? Ask the Amy virtual close button, chat button, navigation. List 4 items, products 104, List 7 items, level 2. OK, so yeah. Frequently asked question, what is any accidental damage at home? How to get any optional accidental damage at home? What's included? Heading level 2. Accidental damage at home, Heading level 1. Heading not found. What's included, Heading level 2. Accidental damage at home, heading level 1. What did that all come down to Visited explore accidental damage at home main HDTPS colon slash slash. How much extra of those other benefits? Heading level 2.",Tester uses screen-reader heading navigation and finds the page/quote path difficult.,F3 Accessibility Friction,negative,navigation,"""Heading not found... It's not easy""",Screen-reader navigation and heading structure appear to create friction; also linked to quote pathway.
Sharelinsonny_uq_w004,the-university-of-queensland,Sharelinsonny_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_Sharelinsonny.mp4,Sharelinsonny,267.399,333.79,66.391,"OK, so I think um I think search more. Like, uh, Maybe masters of business. Australian uni. Uh She from the Institute of Business. And multiple 3. It's just a, it's a few options here. It is also the same as the So here are some top of Australians in university. This one, Melbourne, no need for business program and research output, offers a Master of Business affairs specialization.",Tester searches externally for Master of Business options and reviews multiple university results.,F6 Content Not Found,neutral,navigation,"""Maybe masters of business. Australian uni""",External search behaviour suggests findability/exploration rather than direct site success.
