tester_name,submission_count,submission_count_scored,score,tier,direction,delta_first_to_last,submission_video_ids,submission_scores,submission_tiers,persistent_friction_types,sentiment_distribution,calibrator_aggregate_mismatch_count,projects,cross_check_lanes,ordering_basis
kweslake,1,1,88.5,Leading,,,kweslake_uq,88.5,Leading,,"{""E3"": 3, ""E4"": 21}",0,the-university-of-queensland,raw_only,project_video_id_proxy
laurenrosemetzler,3,3,82.1,Proficient,improving,25.4,"laurenrosemetzler_wa,laurenrosemetzler_suncorp,laurenrosemetzler_uq","65.0,90.8,90.4","Developing,Leading,Leading","F1,F2,F5,F7","{""E2"": 1, ""E3"": 6, ""E4"": 85, ""E5"": 1}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
margieflint,3,3,76.9,Proficient,declining,-32.8,"margieflint_wa,margieflint_suncorp,margieflint_uq","87.8,87.9,55.0","Leading,Leading,Developing","F2,F6,F1","{""E3"": 42, ""E4"": 145, ""E5"": 2}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
marychaunguyen,3,3,58.3,Developing,improving,10.0,"marychaunguyen_wa,marychaunguyen_suncorp,marychaunguyen_uq","55.0,55.0,65.0","Developing,Developing,Developing","F1,F2","{""E3"": 26, ""E4"": 61}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
mgblackwell2001,1,1,70.0,Proficient,,,mgblackwell2001_suncorp,70.0,Proficient,,"{""E3"": 1, ""E4"": 14}",0,suncorp-insurance,with_overrides,project_video_id_proxy
oliviamitchell22,1,1,88.2,Leading,,,oliviamitchell22_suncorp,88.2,Leading,,"{""E3"": 4, ""E4"": 22}",0,suncorp-insurance,with_overrides,project_video_id_proxy
praveshuprety307,1,1,86.4,Leading,,,praveshuprety307_wa,86.4,Leading,,"{""E3"": 11, ""E4"": 19}",0,department-of-premier-and-cabinet-wa,with_overrides,project_video_id_proxy
rae,2,2,77.8,Proficient,declining,-25.6,"rae_suncorp,rae_uq","90.6,65.0","Leading,Developing","F1,F2,F6","{""E3"": 16, ""E4"": 69}",0,"suncorp-insurance,the-university-of-queensland","with_overrides,raw_only",project_video_id_proxy
ramazankawish,3,3,66.0,Developing,stable,0.0,"ramazankawish_wa,ramazankawish_suncorp,ramazankawish_uq","55.0,88.0,55.0","Developing,Leading,Developing","F2,F6,F1","{""E2"": 1, ""E3"": 29, ""E4"": 119, ""E5"": 1}",1,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
reececraigie,3,3,86.8,Leading,stable,2.3,"reececraigie_wa,reececraigie_suncorp,reececraigie_uq","85.0,88.0,87.3","Leading,Leading,Leading","F1,F2,F6","{""E3"": 30, ""E4"": 50}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
reneerussell99,3,3,89.4,Leading,stable,1.9,"reneerussell99_wa,reneerussell99_suncorp,reneerussell99_uq","88.5,89.2,90.4","Leading,Leading,Leading","F2,F1","{""E3"": 19, ""E4"": 30}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
tacitdesign,1,1,65.0,Developing,,,tacitdesign_wa,65.0,Developing,,"{""E3"": 10, ""E4"": 62}",0,department-of-premier-and-cabinet-wa,with_overrides,project_video_id_proxy
terryaflint17,3,3,55.0,Developing,stable,0.0,"terryaflint17_wa,terryaflint17_suncorp,terryaflint17_uq","55.0,55.0,55.0","Developing,Developing,Developing","F2,F6,F1","{""E3"": 13, ""E4"": 64, ""E5"": 4}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
thanoptions,3,2,62.5,Developing,declining,-15.0,"thanoptions_wa,thanoptions_suncorp,thanoptions_uq","47.5,70.0,55.0","Foundational,Proficient,Developing","F1,F2","{""E3"": 9, ""E4"": 39}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
tharayil,1,1,87.4,Leading,,,tharayil_wa,87.4,Leading,,"{""E3"": 24, ""E4"": 33}",0,department-of-premier-and-cabinet-wa,with_overrides,project_video_id_proxy
tianarosie1,1,1,55.0,Developing,,,tianarosie1_wa,55.0,Developing,,"{""E3"": 6, ""E4"": 53}",0,department-of-premier-and-cabinet-wa,with_overrides,project_video_id_proxy
troyparnell,1,0,32.5,Foundational,,,troyparnell_suncorp,32.5,Foundational,,{},0,suncorp-insurance,with_overrides,project_video_id_proxy
